month,year,catch
5,2008,26911.87656
6,2008,14622.89373
8,2008,7733.69945
10,2008,19574.73411
11,2008,24159.14318
12,2008,15192.79785
5,2009,805.25324
6,2009,1137.45011
8,2009,6876.74552
9,2009,13904.49942
10,2009,4868.64354
11,2009,4575.82963
12,2009,2383.49941
5,2010,5922.49462
7,2010,154.57776
8,2010,5886.10474
9,2010,15331.47469
10,2010,16014.07115
11,2010,7947.73189
12,2010,3027.98382
5,2011,21388.84818
6,2011,5060.87061
9,2011,3903.06635
10,2011,1457.23171
11,2011,27478.82743
12,2011,12389.37151
5,2012,20341.22688
8,2012,3730.34659
9,2012,16220.46531
10,2012,14971.80307
5,2013,23141.51117
6,2013,4933.9791
8,2013,2871.55418
9,2013,14516.50526
10,2013,20326.41976
11,2013,12159.54583
5,2014,30315.04702
6,2014,4953.21033
8,2014,4596.44127
9,2014,26286.22332
10,2014,31304.31454
11,2014,5748.03042
5,2015,32804.6612
6,2015,9711.33566
9,2015,7014.3678
10,2015,12182.63219
11,2015,6771.34554
5,2016,32570.29078
6,2016,14846.48103
9,2016,18830.41856
10,2016,26310.84706
11,2016,16227.77178
5,2017,25126.19797
6,2017,22893.22596
8,2017,483.0061
9,2017,44174.36114
10,2017,38221.54357
11,2017,6061.68208
5,2018,27237.24841
6,2018,24390.68192
7,2018,106.05051
9,2018,24018.42884
10,2018,28774.9752
11,2018,11545.60102
5,2019,38045.85319
6,2019,31799.82221
8,2019,23.58416
9,2019,11092.01982
10,2019,20605.37431
11,2019,14579.52174
5,2020,40294.36603
6,2020,23938.39765
9,2020,5135.90551
10,2020,21483.89134
11,2020,20294.50611
5,2021,13569.46848
6,2021,15074.82608
9,2021,21105.46173
10,2021,50528.95416
11,2021,3751.23852
